# CKAL ROKET TAKIMI (Data loaded from a file)
# 2437 data points written for 3 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.016,0,0
0.025,1.305e-4,0.057
0.035,0.002,0.394
0.044,0.008,0.957
# Event LIFTOFF occurred at t=0.054 seconds
0.054,0.021,1.724
0.064,0.043,2.501
0.074,0.071,3.288
0.084,0.108,4.084
0.094,0.153,4.89
0.104,0.206,5.706
0.114,0.267,6.531
0.124,0.337,7.365
0.134,0.415,8.209
0.144,0.501,9.063
0.154,0.596,9.926
0.164,0.7,10.799
0.174,0.812,11.681
0.184,0.933,12.573
0.194,1.063,13.47
0.204,1.203,14.369
0.214,1.351,15.27
0.224,1.508,16.171
0.234,1.674,17.075
0.244,1.85,17.98
0.254,2.034,18.886
0.264,2.227,19.794
0.274,2.43,20.704
0.284,2.641,21.614
0.294,2.862,22.527
0.304,3.092,23.441
0.314,3.331,24.356
0.324,3.579,25.273
0.334,3.836,26.192
0.344,4.103,27.112
0.354,4.379,28.033
0.364,4.664,28.956
0.374,4.958,29.88
0.384,5.261,30.806
0.394,5.574,31.734
0.404,5.896,32.663
# Event LAUNCHROD occurred at t=0.414 seconds
0.414,6.227,33.593
0.429,6.741,34.989
0.451,7.534,37.043
0.484,8.807,40.136
0.533,10.909,44.801
0.583,13.268,49.546
0.633,15.864,54.326
0.683,18.701,59.142
0.733,21.779,63.992
0.747,22.652,65.308
0.767,23.994,67.284
0.798,26.083,70.25
0.843,29.386,74.706
0.893,33.243,79.6
0.943,37.346,84.494
0.986,41.023,88.652
1.016,43.79,91.654
1.044,46.361,94.359
1.069,48.742,96.796
1.093,51.098,99.147
1.117,53.496,101.483
1.141,56.008,103.874
1.167,58.746,106.42
1.197,61.963,109.334
1.237,66.343,113.184
1.287,72.125,118.074
1.337,78.151,122.959
1.34,78.574,123.295
1.345,79.211,123.798
1.353,80.172,124.552
1.365,81.625,125.68
1.382,83.827,127.367
1.405,86.813,129.607
1.426,89.499,131.579
1.445,92.042,133.411
1.464,94.559,135.191
1.483,97.151,136.993
1.503,99.94,138.897
1.526,103.142,141.04
1.556,107.414,143.832
1.601,113.979,147.98
1.651,121.492,152.528
1.671,124.595,154.348
1.691,127.644,156.106
1.708,130.38,157.656
1.725,133.025,159.132
1.742,135.742,160.626
1.76,138.666,162.21
1.779,141.844,163.905
1.801,145.378,165.757
1.827,149.825,168.042
1.867,156.609,171.434
1.916,165.039,175.498
1.935,168.432,177.087
1.953,171.5,178.503
1.968,174.271,179.765
1.984,177.178,181.072
2.001,180.174,182.403
2.019,183.473,183.849
2.041,187.676,185.665
2.075,194.059,188.363
2.125,203.575,192.259
2.146,207.534,193.837
2.162,210.669,195.069
2.177,213.632,196.221
2.193,216.656,197.383
2.209,219.949,198.635
2.229,223.834,200.093
2.256,229.347,202.129
2.297,237.72,205.149
2.327,243.832,207.299
2.346,247.838,208.684
2.364,251.52,209.94
2.381,255.064,211.135
2.398,258.735,212.357
2.41,261.302,213.203
2.428,265.172,214.467
2.455,271.02,216.353
2.496,279.887,219.157
2.518,284.797,220.682
2.535,288.465,221.809
2.55,291.858,222.843
2.566,295.294,223.881
2.582,299.074,225.014
2.603,303.824,226.423
2.629,309.642,228.131
2.667,318.449,230.496
2.684,322.375,231.422
2.699,325.731,232.152
2.704,326.921,232.397
2.712,328.707,232.753
2.723,331.392,233.258
2.739,334.978,233.878
2.757,339.4,234.559
2.786,346.055,235.41
2.828,356.076,236.301
2.845,359.975,236.524
2.851,361.459,236.59
2.86,363.685,236.668
2.875,367.025,236.732
2.89,370.74,236.727
2.91,375.357,236.611
2.932,380.626,236.33
2.95,384.878,236.019
# Event BURNOUT occurred at t=2.967 seconds
2.967,388.887,235.688
2.992,394.89,235.163
3.012,399.523,234.758
3.03,403.656,234.397
3.047,407.771,234.038
3.068,412.476,233.628
3.098,419.518,233.013
3.143,430.047,232.094
3.164,434.848,231.674
3.184,439.59,231.26
3.208,445.105,230.78
3.244,453.355,230.063
3.294,464.833,229.068
3.321,470.959,228.538
3.344,476.409,228.067
3.371,482.539,227.538
3.412,491.706,226.746
3.462,503.019,225.768
3.489,509.189,225.234
3.516,515.163,224.718
3.547,522.116,224.119
3.593,532.51,223.225
3.643,543.648,222.269
3.665,548.549,221.849
3.685,552.945,221.472
3.706,557.597,221.074
3.733,563.605,220.559
3.774,572.591,219.79
3.81,580.522,219.109
3.83,584.836,218.738
3.848,588.844,218.394
3.868,593.077,218.031
3.892,598.348,217.58
3.928,606.235,216.907
3.978,617.057,215.985
3.997,621.056,215.644
4.013,624.623,215.341
4.03,628.246,215.033
4.049,632.31,214.687
4.074,637.706,214.228
4.112,645.78,213.541
4.147,653.257,212.903
4.17,658.189,212.482
4.19,662.31,212.13
4.208,666.317,211.788
4.23,670.808,211.406
4.26,677.109,210.87
4.304,686.53,210.071
4.335,692.906,209.531
4.354,697.036,209.182
4.373,700.979,208.848
4.396,705.716,208.447
4.43,712.804,207.847
4.48,723.174,206.969
4.516,730.688,206.331
4.544,736.476,205.84
4.573,742.402,205.338
4.616,751.108,204.601
4.666,761.317,203.739
4.706,769.493,203.049
4.735,775.394,202.552
4.761,780.632,202.11
4.794,787.245,201.552
4.843,797.13,200.718
4.881,804.821,200.067
4.907,809.985,199.63
4.933,815.194,199.189
4.966,821.649,198.643
5.014,831.298,197.83
5.058,839.983,197.099
5.084,844.963,196.68
5.111,850.291,196.232
5.149,857.844,195.596
5.199,867.603,194.772
5.249,877.321,193.951
5.277,882.704,193.496
5.306,888.228,193.029
5.343,895.346,192.428
5.393,904.947,191.619
5.443,914.508,190.814
5.468,919.401,190.403
5.495,924.426,189.98
5.529,930.93,189.432
5.579,940.382,188.635
5.629,949.793,187.84
5.657,955.115,187.389
5.684,960.119,186.966
5.718,966.399,186.435
5.768,975.701,185.65
5.818,984.964,184.869
5.859,992.528,184.231
5.886,997.591,183.804
5.912,1002.415,183.397
5.944,1008.097,182.918
5.99,1016.592,182.2
6.038,1025.229,181.467
6.064,1029.939,181.067
6.087,1034.274,180.699
6.111,1038.554,180.335
6.14,1043.791,179.891
6.184,1051.622,179.228
6.234,1060.564,178.471
6.262,1065.62,178.043
6.287,1069.983,177.674
6.311,1074.292,177.309
6.341,1079.61,176.858
6.386,1087.561,176.183
6.436,1096.351,175.435
6.468,1101.948,174.958
6.498,1107.142,174.516
6.534,1113.392,173.983
6.584,1122.072,173.245
6.634,1130.716,172.509
6.684,1139.323,171.776
6.734,1147.874,171.047
6.784,1156.408,170.319
6.834,1164.906,169.592
6.884,1173.368,168.867
6.929,1181.07,168.206
6.976,1188.863,167.537
7.026,1197.222,166.82
7.076,1205.545,166.106
7.121,1213.007,165.465
7.157,1219.04,164.947
7.2,1226.065,164.343
7.25,1234.265,163.636
7.3,1242.429,162.931
7.348,1250.235,162.254
7.376,1254.814,161.856
7.405,1259.408,161.457
7.438,1264.869,160.983
7.488,1272.901,160.286
7.538,1280.898,159.593
7.572,1286.273,159.126
7.598,1290.441,158.764
7.624,1294.5,158.411
7.652,1298.997,158.02
7.691,1305.033,157.494
7.741,1312.891,156.808
7.791,1320.714,156.122
7.823,1325.808,155.674
7.85,1329.921,155.311
7.874,1333.698,154.978
7.903,1338.155,154.585
7.946,1344.819,154
7.996,1352.502,153.325
8.032,1358.014,152.84
8.063,1362.731,152.424
8.094,1367.373,152.015
8.125,1372.156,151.593
8.168,1378.712,151.014
8.218,1386.246,150.347
8.268,1393.747,149.68
8.317,1400.99,149.034
8.362,1407.683,148.437
8.412,1415.088,147.776
8.462,1422.461,147.117
8.512,1429.8,146.46
8.562,1437.107,145.806
8.612,1444.381,145.153
8.662,1451.622,144.503
8.712,1458.831,143.853
8.762,1466.008,143.205
8.812,1473.152,142.558
8.862,1480.263,141.911
8.912,1487.325,141.268
8.959,1494.047,140.654
9.009,1501.064,140.014
9.059,1508.049,139.376
9.109,1515.001,138.74
9.145,1519.888,138.292
9.177,1524.327,137.884
9.215,1529.598,137.4
9.265,1536.452,136.768
9.315,1543.275,136.136
9.365,1550.066,135.505
9.405,1555.464,135.001
9.439,1560.002,134.576
9.473,1564.637,134.142
9.516,1570.405,133.602
9.566,1577.069,132.979
9.616,1583.703,132.358
9.666,1590.305,131.738
9.707,1595.668,131.233
9.743,1600.351,130.792
9.784,1605.672,130.29
9.834,1612.172,129.675
9.884,1618.64,129.06
9.934,1625.078,128.445
9.984,1631.484,127.83
10.024,1636.616,127.336
10.059,1641.032,126.91
10.094,1645.545,126.474
10.142,1651.636,125.886
10.192,1657.915,125.279
10.242,1664.164,124.675
10.286,1669.642,124.144
10.323,1674.181,123.703
10.361,1678.875,123.246
10.406,1684.405,122.706
10.456,1690.525,122.107
10.506,1696.615,121.508
10.556,1702.676,120.91
10.606,1708.706,120.311
10.65,1713.949,119.788
10.688,1718.525,119.33
10.73,1723.517,118.83
10.778,1729.264,118.254
10.828,1735.162,117.662
10.878,1741.031,117.072
10.928,1746.869,116.484
10.978,1752.679,115.897
11.022,1757.701,115.389
11.069,1763.076,114.842
11.119,1768.804,114.258
11.169,1774.502,113.675
11.219,1780.171,113.092
11.269,1785.811,112.509
11.319,1791.422,111.927
11.369,1797.004,111.346
11.419,1802.557,110.765
11.469,1808.081,110.186
11.519,1813.576,109.609
11.569,1819.042,109.034
11.619,1824.479,108.46
11.669,1829.888,107.887
11.719,1835.268,107.315
11.769,1840.619,106.744
11.818,1845.849,106.185
11.868,1851.144,105.616
11.918,1856.411,105.048
11.968,1861.649,104.48
12.018,1866.859,103.912
12.068,1872.04,103.344
12.118,1877.193,102.777
12.168,1882.318,102.21
12.218,1887.414,101.645
12.268,1892.482,101.081
12.318,1897.522,100.518
12.368,1902.534,99.958
12.418,1907.518,99.399
12.468,1912.474,98.841
12.518,1917.402,98.284
12.568,1922.303,97.727
12.618,1927.175,97.172
12.668,1932.02,96.617
12.718,1936.837,96.063
12.768,1941.626,95.509
12.818,1946.388,94.955
12.868,1951.122,94.401
12.918,1955.828,93.847
12.968,1960.506,93.293
13.018,1965.157,92.74
13.068,1969.78,92.189
13.118,1974.376,91.639
13.168,1978.944,91.091
13.218,1983.485,90.545
13.268,1987.999,89.999
13.318,1992.485,89.455
13.368,1996.944,88.911
13.418,2001.376,88.368
13.468,2005.781,87.826
13.518,2010.159,87.284
13.568,2014.509,86.743
13.618,2018.833,86.201
13.668,2023.13,85.659
13.718,2027.399,85.117
13.768,2031.641,84.575
13.818,2035.856,84.033
13.868,2040.045,83.492
13.918,2044.206,82.953
13.968,2048.34,82.414
14.018,2052.447,81.878
14.068,2056.528,81.343
14.118,2060.582,80.81
14.168,2064.609,80.276
14.217,2068.537,79.753
14.262,2072.169,79.267
14.307,2075.664,78.797
14.355,2079.442,78.286
14.405,2083.343,77.756
14.455,2087.218,77.226
14.505,2091.066,76.696
14.555,2094.888,76.165
14.605,2098.683,75.634
14.655,2102.451,75.102
14.705,2106.193,74.57
14.755,2109.908,74.039
14.805,2113.597,73.508
14.855,2117.259,72.98
14.905,2120.895,72.453
14.955,2124.504,71.928
15.005,2128.088,71.404
15.055,2131.645,70.881
15.105,2135.176,70.359
15.155,2138.681,69.837
15.205,2142.159,69.316
15.255,2145.612,68.795
15.305,2149.039,68.274
15.355,2152.44,67.755
15.405,2155.814,67.235
15.455,2159.163,66.716
15.505,2162.486,66.198
15.555,2165.783,65.679
15.605,2169.054,65.161
15.655,2172.299,64.642
15.705,2175.518,64.124
15.755,2178.711,63.605
15.805,2181.879,63.087
15.855,2185.02,62.568
15.905,2188.135,62.05
15.955,2191.225,61.532
16.005,2194.289,61.015
16.055,2197.327,60.5
16.105,2200.339,59.985
16.155,2203.325,59.472
16.205,2206.286,58.959
16.255,2209.221,58.446
16.305,2212.13,57.935
16.355,2215.014,57.423
16.405,2217.873,56.913
16.455,2220.706,56.402
16.505,2223.513,55.893
16.555,2226.295,55.383
16.605,2229.051,54.874
16.655,2231.782,54.365
16.705,2234.488,53.857
16.755,2237.168,53.349
16.805,2239.823,52.842
16.855,2242.452,52.335
16.905,2245.056,51.828
16.955,2247.635,51.321
17.005,2250.188,50.814
17.055,2252.717,50.308
17.105,2255.219,49.801
17.155,2257.697,49.293
17.205,2260.149,48.786
17.255,2262.575,48.278
17.305,2264.976,47.77
17.355,2267.352,47.263
17.405,2269.703,46.756
17.455,2272.028,46.25
17.505,2274.328,45.744
17.555,2276.602,45.238
17.605,2278.851,44.734
17.655,2281.076,44.23
17.705,2283.275,43.727
17.755,2285.448,43.225
17.805,2287.597,42.723
17.855,2289.721,42.221
17.905,2291.819,41.72
17.955,2293.893,41.22
18.005,2295.941,40.72
18.055,2297.965,40.22
18.105,2299.963,39.721
18.155,2301.937,39.221
18.205,2303.885,38.722
18.255,2305.809,38.224
18.305,2307.708,37.725
18.355,2309.581,37.227
18.405,2311.43,36.729
18.455,2313.254,36.23
18.505,2315.053,35.733
18.555,2316.828,35.235
18.605,2318.577,34.738
18.655,2320.301,34.24
18.705,2322.001,33.743
18.755,2323.676,33.246
18.805,2325.325,32.748
18.855,2326.95,32.251
18.905,2328.551,31.755
18.955,2330.126,31.258
19.005,2331.676,30.762
19.055,2333.202,30.266
19.105,2334.703,29.771
19.155,2336.179,29.275
19.205,2337.631,28.78
19.255,2339.057,28.285
19.305,2340.459,27.79
19.355,2341.836,27.295
19.405,2343.189,26.8
19.455,2344.516,26.305
19.505,2345.819,25.81
19.555,2347.097,25.316
19.605,2348.351,24.821
19.655,2349.579,24.327
19.705,2350.783,23.833
19.755,2351.963,23.339
19.805,2353.117,22.845
19.855,2354.247,22.352
19.905,2355.352,21.859
19.955,2356.433,21.366
20.005,2357.489,20.874
20.055,2358.52,20.381
20.105,2359.527,19.889
20.155,2360.509,19.397
20.205,2361.467,18.905
20.255,2362.4,18.413
20.305,2363.308,17.922
20.355,2364.192,17.43
20.405,2365.051,16.939
20.455,2365.886,16.448
20.505,2366.696,15.957
20.555,2367.482,15.466
20.605,2368.243,14.975
20.655,2368.979,14.484
20.705,2369.691,13.993
20.755,2370.378,13.503
20.805,2371.041,13.012
20.855,2371.68,12.522
20.905,2372.293,12.031
20.955,2372.883,11.541
21.005,2373.448,11.051
21.055,2373.988,10.561
21.105,2374.504,10.071
21.155,2374.995,9.581
21.205,2375.462,9.091
21.255,2375.904,8.602
21.305,2376.322,8.112
21.355,2376.715,7.623
21.405,2377.084,7.134
21.455,2377.429,6.645
21.505,2377.749,6.156
21.555,2378.044,5.668
21.605,2378.315,5.179
21.655,2378.562,4.691
21.705,2378.785,4.202
21.755,2378.982,3.714
21.805,2379.156,3.226
21.855,2379.305,2.737
21.905,2379.43,2.249
21.955,2379.53,1.761
22.005,2379.606,1.273
22.055,2379.657,0.784
22.105,2379.684,0.295
# Event APOGEE occurred at t=22.155 seconds
22.155,2379.687,-0.194
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=22.156 seconds
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=22.156 seconds
22.205,2379.665,-0.682
22.291,2379.574,-1.43
22.391,2379.392,-2.194
22.513,2379.076,-3.012
22.658,2378.582,-3.799
22.842,2377.816,-4.515
23.097,2376.596,-5.063
23.384,2375.11,-5.303
23.658,2373.656,-5.314
23.931,2372.208,-5.286
24.205,2370.754,-5.311
24.478,2369.305,-5.292
24.753,2367.849,-5.327
25.025,2366.401,-5.312
25.298,2364.954,-5.284
25.573,2363.507,-5.258
25.848,2362.047,-5.328
26.121,2360.598,-5.322
26.393,2359.148,-5.325
26.665,2357.699,-5.324
26.937,2356.253,-5.303
27.211,2354.804,-5.298
27.484,2353.353,-5.318
27.756,2351.903,-5.325
28.028,2350.457,-5.313
28.301,2349.008,-5.319
28.573,2347.56,-5.315
28.845,2346.112,-5.32
29.118,2344.665,-5.32
29.39,2343.219,-5.307
29.662,2341.771,-5.313
29.935,2340.324,-5.314
30.207,2338.879,-5.309
30.479,2337.431,-5.322
30.751,2335.986,-5.313
31.023,2334.541,-5.3
31.296,2333.094,-5.309
31.568,2331.648,-5.318
31.84,2330.203,-5.318
32.112,2328.758,-5.318
32.383,2327.313,-5.319
32.655,2325.868,-5.318
32.927,2324.424,-5.314
33.198,2322.992,-5.228
33.475,2321.536,-5.311
33.746,2320.095,-5.295
34.019,2318.649,-5.312
34.291,2317.205,-5.316
34.562,2315.766,-5.287
34.835,2314.32,-5.309
35.107,2312.881,-5.279
35.38,2311.436,-5.305
35.652,2309.997,-5.28
35.925,2308.551,-5.307
36.197,2307.115,-5.266
36.47,2305.678,-5.228
36.746,2304.226,-5.311
37.017,2302.784,-5.312
37.289,2301.351,-5.256
37.563,2299.914,-5.231
37.838,2298.462,-5.31
38.109,2297.022,-5.31
38.381,2295.583,-5.301
38.652,2294.143,-5.305
38.924,2292.703,-5.307
39.195,2291.264,-5.307
39.466,2289.824,-5.308
39.737,2288.386,-5.304
40.009,2286.949,-5.293
40.28,2285.513,-5.274
40.553,2284.078,-5.248
40.827,2282.633,-5.297
41.098,2281.195,-5.3
41.37,2279.759,-5.283
41.642,2278.321,-5.288
41.914,2276.882,-5.304
42.185,2275.445,-5.304
42.455,2274.008,-5.3
42.727,2272.571,-5.304
42.997,2271.14,-5.264
43.27,2269.699,-5.303
43.541,2268.265,-5.285
43.813,2266.829,-5.288
44.084,2265.392,-5.296
44.355,2263.957,-5.295
44.626,2262.521,-5.301
44.897,2261.086,-5.301
45.168,2259.654,-5.285
45.439,2258.222,-5.265
45.711,2256.784,-5.291
45.982,2255.349,-5.299
46.253,2253.918,-5.276
46.525,2252.483,-5.29
46.796,2251.048,-5.297
47.066,2249.619,-5.266
47.338,2248.182,-5.295
47.609,2246.749,-5.295
47.88,2245.317,-5.294
48.15,2243.89,-5.251
48.423,2242.453,-5.291
48.694,2241.021,-5.291
48.964,2239.589,-5.294
49.234,2238.158,-5.291
49.505,2236.726,-5.294
49.775,2235.297,-5.274
50.047,2233.869,-5.258
50.319,2232.433,-5.292
50.589,2231.004,-5.283
50.86,2229.576,-5.266
51.131,2228.145,-5.274
51.402,2226.717,-5.263
51.674,2225.283,-5.291
51.944,2223.857,-5.268
52.216,2222.425,-5.29
52.486,2220.996,-5.289
52.756,2219.581,-5.183
53.032,2218.139,-5.279
53.302,2216.711,-5.278
53.573,2215.282,-5.288
53.843,2213.854,-5.287
54.113,2212.426,-5.284
54.383,2211.002,-5.264
54.654,2209.577,-5.243
54.926,2208.145,-5.28
55.196,2206.72,-5.266
55.467,2205.295,-5.256
55.739,2203.866,-5.274
56.009,2202.438,-5.285
56.279,2201.013,-5.277
56.549,2199.592,-5.237
56.822,2198.161,-5.279
57.092,2196.737,-5.271
57.362,2195.311,-5.277
57.632,2193.887,-5.267
57.902,2192.462,-5.269
58.173,2191.036,-5.279
58.443,2189.612,-5.271
58.713,2188.187,-5.277
58.983,2186.764,-5.277
59.253,2185.343,-5.25
59.524,2183.916,-5.277
59.794,2182.492,-5.279
60.063,2181.071,-5.263
60.333,2179.646,-5.278
60.603,2178.224,-5.278
60.873,2176.804,-5.255
61.143,2175.381,-5.259
61.414,2173.957,-5.273
61.683,2172.536,-5.269
61.953,2171.113,-5.276
62.223,2169.692,-5.275
62.492,2168.273,-5.258
62.762,2166.851,-5.261
63.032,2165.429,-5.27
63.302,2164.012,-5.246
63.573,2162.588,-5.269
63.842,2161.167,-5.272
64.112,2159.747,-5.271
64.381,2158.327,-5.273
64.65,2156.908,-5.272
64.92,2155.489,-5.267
65.189,2154.069,-5.271
65.458,2152.651,-5.265
65.728,2151.231,-5.271
65.997,2149.812,-5.271
66.266,2148.395,-5.263
66.535,2146.977,-5.261
66.805,2145.56,-5.256
67.075,2144.14,-5.268
67.344,2142.723,-5.264
67.613,2141.305,-5.265
67.882,2139.888,-5.266
68.151,2138.471,-5.267
68.42,2137.054,-5.265
68.689,2135.639,-5.256
68.959,2134.221,-5.265
69.228,2132.807,-5.254
69.497,2131.389,-5.264
69.766,2129.973,-5.265
70.035,2128.558,-5.263
70.304,2127.146,-5.236
70.575,2125.727,-5.263
70.843,2124.312,-5.263
71.112,2122.898,-5.263
71.381,2121.484,-5.258
71.65,2120.069,-5.261
71.919,2118.655,-5.262
72.187,2117.241,-5.262
72.456,2115.827,-5.261
72.725,2114.416,-5.24
72.995,2113.001,-5.251
73.264,2111.587,-5.258
73.532,2110.174,-5.26
73.801,2108.761,-5.259
74.07,2107.354,-5.22
74.34,2105.94,-5.233
74.61,2104.526,-5.246
74.879,2103.112,-5.258
75.148,2101.707,-5.21
75.419,2100.293,-5.226
75.689,2098.878,-5.256
75.957,2097.47,-5.232
76.227,2096.062,-5.206
76.498,2094.657,-5.167
76.771,2093.235,-5.25
77.04,2091.825,-5.252
77.308,2090.414,-5.255
77.576,2089.005,-5.247
77.845,2087.595,-5.248
78.114,2086.187,-5.235
78.383,2084.777,-5.241
78.652,2083.367,-5.25
78.92,2081.958,-5.246
79.189,2080.549,-5.248
79.457,2079.14,-5.251
79.725,2077.732,-5.251
79.993,2076.324,-5.246
80.262,2074.917,-5.242
80.53,2073.512,-5.218
80.8,2072.101,-5.249
81.068,2070.7,-5.196
81.339,2069.289,-5.229
81.608,2067.879,-5.249
81.876,2066.475,-5.227
82.145,2065.066,-5.244
82.413,2063.66,-5.247
82.681,2062.265,-5.158
82.954,2060.847,-5.247
83.222,2059.444,-5.226
83.491,2058.037,-5.241
83.759,2056.634,-5.222
84.028,2055.226,-5.244
84.296,2053.821,-5.239
84.564,2052.416,-5.245
84.832,2051.014,-5.227
85.101,2049.61,-5.223
85.37,2048.204,-5.235
85.638,2046.8,-5.236
85.906,2045.397,-5.226
86.174,2043.992,-5.241
86.442,2042.593,-5.207
86.712,2041.186,-5.236
86.98,2039.783,-5.236
87.248,2038.38,-5.236
87.515,2036.977,-5.235
87.783,2035.575,-5.237
88.051,2034.177,-5.201
88.321,2032.77,-5.237
88.588,2031.369,-5.235
88.856,2029.973,-5.192
89.126,2028.585,-5.091
89.401,2027.164,-5.233
89.669,2025.768,-5.202
89.938,2024.367,-5.199
90.208,2022.969,-5.181
90.478,2021.563,-5.218
90.746,2020.163,-5.222
91.014,2018.761,-5.236
91.282,2017.365,-5.205
91.551,2015.965,-5.208
91.819,2014.563,-5.232
92.087,2013.163,-5.232
92.354,2011.766,-5.224
92.622,2010.366,-5.234
92.889,2008.967,-5.233
93.156,2007.571,-5.218
93.424,2006.171,-5.229
93.692,2004.774,-5.226
93.959,2003.377,-5.217
94.227,2001.978,-5.23
94.494,2000.582,-5.221
94.762,1999.184,-5.23
95.029,1997.787,-5.224
95.296,1996.395,-5.191
95.565,1994.994,-5.229
95.832,1993.603,-5.189
96.101,1992.206,-5.194
96.37,1990.806,-5.224
96.637,1989.413,-5.208
96.905,1988.014,-5.227
97.172,1986.62,-5.224
97.439,1985.23,-5.183
97.708,1983.83,-5.226
97.975,1982.442,-5.171
98.245,1981.044,-5.197
98.513,1979.647,-5.222
98.78,1978.254,-5.213
99.047,1976.862,-5.203
99.315,1975.467,-5.208
99.583,1974.076,-5.189
99.851,1972.679,-5.218
100.118,1971.286,-5.223
100.385,1969.896,-5.197
100.653,1968.501,-5.218
100.919,1967.108,-5.219
101.186,1965.716,-5.221
101.453,1964.332,-5.161
101.722,1962.935,-5.197
101.99,1961.549,-5.162
102.26,1960.156,-5.17
102.529,1958.759,-5.216
102.795,1957.368,-5.219
103.062,1955.977,-5.217
103.328,1954.591,-5.186
103.597,1953.197,-5.213
103.863,1951.808,-5.203
104.13,1950.416,-5.217
104.397,1949.027,-5.215
104.663,1947.638,-5.211
104.93,1946.249,-5.206
105.197,1944.86,-5.207
105.463,1943.47,-5.211
105.73,1942.084,-5.195
105.997,1940.695,-5.193
106.265,1939.305,-5.207
106.531,1937.918,-5.201
106.798,1936.529,-5.209
107.064,1935.141,-5.211
107.331,1933.755,-5.198
107.597,1932.369,-5.188
107.865,1930.984,-5.173
108.133,1929.593,-5.208
108.399,1928.211,-5.174
108.667,1926.819,-5.21
108.933,1925.437,-5.182
109.201,1924.047,-5.21
109.467,1922.661,-5.209
109.733,1921.28,-5.176
110.001,1919.891,-5.197
110.267,1918.505,-5.204
110.533,1917.12,-5.206
110.799,1915.735,-5.203
111.065,1914.35,-5.206
111.331,1912.968,-5.194
111.598,1911.582,-5.205
111.864,1910.197,-5.206
112.13,1908.814,-5.2
112.396,1907.434,-5.177
112.663,1906.047,-5.204
112.929,1904.667,-5.174
113.196,1903.285,-5.167
113.464,1901.898,-5.201
113.729,1900.515,-5.201
113.995,1899.132,-5.202
114.261,1897.755,-5.169
114.528,1896.369,-5.198
114.794,1894.991,-5.164
115.062,1893.605,-5.196
115.328,1892.225,-5.186
115.594,1890.842,-5.201
115.86,1889.465,-5.168
116.127,1888.08,-5.199
116.392,1886.699,-5.199
116.658,1885.32,-5.191
116.924,1883.939,-5.195
117.189,1882.56,-5.19
117.455,1881.18,-5.19
117.721,1879.799,-5.197
117.987,1878.42,-5.196
118.252,1877.041,-5.194
118.518,1875.663,-5.185
118.784,1874.283,-5.195
119.049,1872.905,-5.184
119.315,1871.525,-5.194
119.58,1870.147,-5.195
119.846,1868.77,-5.186
120.111,1867.392,-5.188
120.377,1866.017,-5.165
120.644,1864.639,-5.17
120.91,1863.259,-5.192
121.175,1861.886,-5.156
121.442,1860.505,-5.189
121.708,1859.128,-5.191
121.973,1857.751,-5.192
122.238,1856.376,-5.18
122.503,1854.999,-5.191
122.769,1853.625,-5.174
123.034,1852.247,-5.19
123.299,1850.874,-5.175
123.565,1849.496,-5.19
123.83,1848.124,-5.171
124.096,1846.749,-5.165
124.362,1845.375,-5.162
124.629,1843.997,-5.187
124.894,1842.629,-5.143
125.161,1841.248,-5.187
125.426,1839.875,-5.185
125.691,1838.501,-5.187
125.955,1837.127,-5.186
126.22,1835.755,-5.178
126.485,1834.382,-5.174
126.751,1833.008,-5.182
127.016,1831.638,-5.158
127.282,1830.263,-5.176
127.547,1828.9,-5.109
127.816,1827.518,-5.176
128.081,1826.147,-5.172
128.346,1824.775,-5.169
128.611,1823.402,-5.18
128.876,1822.03,-5.183
129.141,1820.659,-5.18
129.405,1819.289,-5.177
129.67,1817.917,-5.181
129.935,1816.548,-5.169
130.2,1815.179,-5.159
130.466,1813.809,-5.158
130.731,1812.438,-5.164
130.996,1811.066,-5.179
131.261,1809.698,-5.166
131.526,1808.335,-5.117
131.794,1806.958,-5.176
132.058,1805.592,-5.152
132.324,1804.219,-5.177
132.588,1802.852,-5.167
132.853,1801.482,-5.176
133.118,1800.116,-5.155
133.383,1798.746,-5.175
133.647,1797.381,-5.149
133.913,1796.011,-5.166
134.178,1794.642,-5.175
134.442,1793.275,-5.171
134.706,1791.911,-5.144
134.972,1790.543,-5.154
135.237,1789.175,-5.162
135.502,1787.807,-5.17
135.766,1786.441,-5.173
136.031,1785.075,-5.167
136.295,1783.709,-5.169
136.559,1782.343,-5.166
136.823,1780.981,-5.142
137.089,1779.612,-5.168
137.353,1778.246,-5.17
137.617,1776.881,-5.169
137.881,1775.518,-5.152
138.146,1774.154,-5.148
138.411,1772.789,-5.15
138.676,1771.435,-5.07
138.945,1770.058,-5.17
139.209,1768.694,-5.164
139.473,1767.332,-5.152
139.738,1765.967,-5.163
140.002,1764.607,-5.137
140.267,1763.241,-5.161
140.531,1761.877,-5.167
140.795,1760.52,-5.126
141.061,1759.152,-5.166
141.325,1757.789,-5.164
141.589,1756.427,-5.164
141.852,1755.068,-5.142
142.117,1753.704,-5.158
142.381,1752.343,-5.15
142.646,1750.981,-5.153
142.91,1749.624,-5.122
143.176,1748.257,-5.163
143.439,1746.9,-5.132
143.704,1745.536,-5.157
143.968,1744.177,-5.147
