# CKAL ROKET TAKIMI (Data loaded from a file)
# 2437 data points written for 58 variables.
#
# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (cm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
3.068,412.476,1382.476,233.628,233.628,-20.374,20.407,-0.072,5.767,5.768,359.302,0.463,1.163,38.4,34,0.229,-6.772e-6,10.084,-0.01,88.407,180.596,1.223e4,2000,2.014,0.023,9.796,110.2,78.6,2.635,0,0,129.717,0.392,0.182,0.027,0.183,0.392,0.032,0.085,-2.144e-4,0,0,0,0,3.124e-4,6.946,180.023,6.014,858.1,0.001,334.943,0.698,2.187e7,12,110,0.03,0.071,0.027
3.098,419.518,1389.518,233.013,233.014,-20.346,20.35,-0.074,5.754,5.754,359.245,0.452,0.43,38.4,34,0.229,-5.323e-6,-10.199,-0.035,88.121,180.539,1.223e4,2000,2.014,0.023,9.796,110.2,78.6,2.636,0,0,128.78,0.392,0.182,0.027,0.183,0.392,0.029,0.076,-2.354e-4,0,0,0,0,-3.219e-4,6.421,180.023,5.968,857.3,0.001,334.916,0.696,2.18e7,12,110,0.045,0.071,0.027
3.143,430.047,1400.047,232.094,232.094,-20.282,20.328,-0.077,5.733,5.733,359.245,0.497,1.363,38.4,34,0.458,9.104e-6,-3.323,-0.016,87.777,180.482,1.223e4,2000,2.014,0.023,9.796,109.9,78.6,2.611,0,0,127.504,0.391,0.182,0.026,0.183,0.391,0.066,0.174,-2.148e-5,0,0,0,0,-3.44e-5,6.564,180.023,5.9,856.2,0.001,334.874,0.693,2.17e7,12,110,0.021,0.072,0.027
3.164,434.848,1404.848,231.674,231.675,-20.234,20.281,-0.079,5.722,5.723,359.187,0.526,1.381,38.4,34,0.516,9.087e-6,0.745,-0.009,87.777,180.482,1.223e4,2000,2.014,0.023,9.796,109.9,78.6,2.609,0,0,126.895,0.391,0.182,0.026,0.182,0.391,0.067,0.176,-2.937e-4,0,0,0,0,1.668e-6,6.601,180.023,5.868,855.7,0.001,334.855,0.692,2.165e7,12,110,0.02,0.072,0.027
3.184,439.59,1409.59,231.26,231.261,-20.171,20.204,-0.08,5.711,5.712,359.187,0.552,1.138,38.4,34,0.401,9.001e-6,4.469,-0.01,87.834,180.482,1.223e4,2000,2.014,0.023,9.796,110,78.6,2.614,0,0,126.269,0.39,0.182,0.026,0.182,0.391,0.058,0.152,-2.207e-4,0,0,0,0,6.358e-5,6.611,180.023,5.838,855.2,0.001,334.837,0.691,2.16e7,12,110,0.024,0.072,0.026
3.208,445.105,1415.105,230.78,230.78,-20.086,20.094,-0.082,5.698,5.698,359.187,0.572,0.556,38.4,34,0.229,9.66e-6,7.735,-0.014,87.949,180.539,1.223e4,2000,2.014,0.023,9.796,110.1,78.6,2.629,0,0,125.53,0.39,0.182,0.026,0.182,0.39,0.035,0.092,-4.501e-4,0,0,0,0,1.903e-4,6.637,180.023,5.802,854.6,0.001,334.815,0.69,2.155e7,12,110,0.036,0.073,0.026
3.244,453.355,1423.355,230.063,230.064,-19.96,19.969,-0.085,5.677,5.678,359.13,0.572,0.61,38.4,34,0.057,1.223e-5,-8.995,-0.007,88.293,180.596,1.223e4,2000,2.014,0.023,9.796,110.3,78.6,2.643,0,0,124.475,0.39,0.182,0.026,0.181,0.39,0.012,0.031,2.583e-4,0,0,0,0,-2.576e-4,6.723,180.023,5.748,853.7,0.001,334.782,0.688,2.147e7,12,110,0.05,0.073,0.026
3.294,464.833,1434.833,229.068,229.069,-19.824,19.89,-0.089,5.65,5.651,359.13,0.512,1.609,38.4,34,0.401,1.24e-5,-3.896,0.013,88.637,180.768,1.223e4,2000,2.014,0.023,9.796,110,78.6,2.614,0,0,123.092,0.389,0.182,0.026,0.181,0.389,0.053,0.138,-8.927e-5,0,0,0,0,-4.934e-5,6.57,180.023,5.674,852.5,0.001,334.737,0.685,2.135e7,12,110,0.027,0.073,0.026
3.321,470.959,1440.959,228.538,228.539,-19.761,19.84,-0.091,5.637,5.638,359.073,0.467,1.77,38.4,34,0.458,1.132e-5,0.401,0.01,88.637,180.825,1.223e4,2000,2.014,0.023,9.796,109.9,78.6,2.609,0,0,122.351,0.389,0.182,0.026,0.181,0.389,0.06,0.156,3.095e-5,0,0,0,0,4.639e-7,6.603,180.023,5.634,851.8,0.001,334.713,0.683,2.129e7,12,110,0.024,0.074,0.026
3.344,476.409,1446.409,228.067,228.068,-19.708,19.773,-0.092,5.627,5.628,359.073,0.427,1.606,38.4,34,0.401,1.127e-5,4.24,0.006,88.579,180.768,1.223e4,2000,2.014,0.023,9.796,109.9,78.6,2.612,0,0,121.669,0.388,0.182,0.025,0.18,0.388,0.053,0.139,-9.943e-5,0,0,0,0,5.776e-5,6.669,180.023,5.598,851.3,0.001,334.691,0.682,2.124e7,12,110,0.027,0.074,0.026
3.371,482.539,1452.539,227.538,227.538,-19.656,19.681,-0.095,5.616,5.617,359.015,0.392,0.99,38.4,34,0.229,1.189e-5,7.391,-0.003,88.465,180.711,1.223e4,2000,2.014,0.023,9.796,110.1,78.6,2.628,0,0,120.877,0.388,0.182,0.025,0.18,0.388,0.028,0.074,1.494e-4,0,0,0,0,1.772e-4,6.611,180.023,5.558,850.6,0.001,334.667,0.68,2.118e7,12,110,0.04,0.074,0.026
3.412,491.706,1461.706,226.746,226.746,-19.597,19.598,-0.098,5.601,5.602,359.015,0.376,0.149,38.4,34,0.115,1.08e-5,-7.85,-0.023,88.121,180.596,1.223e4,2000,2.014,0.023,9.796,110.2,78.6,2.633,0,0,119.752,0.387,0.183,0.025,0.18,0.387,0.019,0.049,-1.896e-4,0,0,0,0,-2.016e-4,6.527,180.023,5.499,849.6,0.001,334.631,0.678,2.109e7,12,110,0.05,0.074,0.026
3.462,503.019,1473.019,225.768,225.768,-19.524,19.548,-0.102,5.582,5.583,358.958,0.408,0.98,38.4,34,0.401,4.358e-6,-2.521,-0.015,87.834,180.539,1.223e4,2000,2.014,0.023,9.796,109.9,78.6,2.608,0,0,118.439,0.387,0.183,0.025,0.179,0.387,0.054,0.14,2.02e-4,0,0,0,0,-2.061e-5,6.55,180.023,5.425,848.4,0.001,334.587,0.675,2.098e7,12,110,0.027,0.075,0.026
3.489,509.189,1479.189,225.234,225.235,-19.465,19.492,-0.104,5.571,5.572,358.958,0.435,1.017,38.4,34,0.401,5.231e-6,1.662,-0.021,87.834,180.539,1.223e4,2000,2.014,0.023,9.796,109.9,78.6,2.606,0,0,117.703,0.386,0.183,0.025,0.179,0.387,0.055,0.145,2.507e-4,0,0,0,0,9.129e-6,6.501,180.023,5.385,847.8,0.001,334.562,0.674,2.092e7,12,110,0.027,0.075,0.026
3.516,515.163,1485.163,224.718,224.719,-19.397,19.415,-0.106,5.559,5.56,358.901,0.46,0.844,38.4,34,0.344,5.982e-6,5.386,-0.024,87.949,180.596,1.223e4,2000,2.014,0.023,9.796,109.9,78.6,2.61,0,0,116.971,0.386,0.183,0.025,0.179,0.386,0.048,0.125,1.189e-4,0,0,0,0,9.579e-5,6.299,180.023,5.346,847.1,0.001,334.539,0.672,2.086e7,12,110,0.031,0.075,0.026
3.547,522.116,1492.116,224.119,224.119,-19.307,19.312,-0.108,5.545,5.546,358.901,0.479,0.404,38.4,34,0.229,5.437e-6,8.652,-0.05,88.178,180.654,1.223e4,2000,2.014,0.023,9.796,110,78.6,2.622,0,0,116.109,0.386,0.183,0.025,0.178,0.386,0.029,0.076,2.483e-4,0,0,0,0,2.509e-4,5.937,180.023,5.301,846.4,0.001,334.511,0.67,2.079e7,12,110,0.046,0.076,0.026
3.593,532.51,1502.51,223.225,223.225,-19.175,19.185,-0.112,5.523,5.524,358.843,0.475,0.615,38.4,34,0.115,2.742e-6,-9.511,-0.057,88.579,180.883,1.223e4,2000,2.014,0.023,9.796,110.1,78.6,2.629,0,0,114.865,0.385,0.183,0.024,0.178,0.385,0.016,0.041,1.856e-4,0,0,0,0,-3.037e-4,5.469,180.023,5.234,845.3,0.001,334.471,0.668,2.069e7,12,110,0.05,0.076,0.026
3.643,543.648,1513.648,222.269,222.269,-19.057,19.146,-0.116,5.501,5.502,358.786,0.412,1.841,38.4,34,0.516,4.672e-6,-3.61,-0.007,88.923,181.169,1.223e4,2000,2.014,0.023,9.796,109.7,78.6,2.593,0,0,113.668,0.384,0.183,0.024,0.177,0.385,0.069,0.18,-1.994e-4,0,0,0,0,-4.406e-5,5.634,180.023,5.161,844.2,0.001,334.427,0.665,2.058e7,12,110,0.022,0.076,0.025
3.665,548.549,1518.549,221.849,221.849,-19.011,19.119,-0.118,5.492,5.493,358.786,0.37,2.028,38.4,34,0.573,6.188e-6,0.688,-0.008,88.98,181.169,1.223e4,2000,2.014,0.023,9.796,109.6,78.6,2.587,0,0,113.131,0.384,0.183,0.024,0.177,0.385,0.077,0.201,-2.373e-4,0,0,0,0,1.567e-6,5.768,180.023,5.129,843.7,0.001,334.407,0.664,2.054e7,12,110,0.02,0.077,0.025
3.685,552.945,1522.945,221.472,221.472,-18.969,19.068,-0.12,5.485,5.487,358.729,0.332,1.935,38.4,34,0.516,6.297e-6,4.584,-0.004,88.923,181.112,1.223e4,2000,2.014,0.023,9.796,109.6,78.6,2.589,0,0,112.622,0.384,0.183,0.024,0.177,0.384,0.074,0.19,3.868e-4,0,0,0,0,7.276e-5,5.894,180.023,5.101,843.2,0.001,334.39,0.663,2.049e7,12,110,0.021,0.077,0.025
3.706,557.597,1527.597,221.074,221.074,-18.927,18.99,-0.122,5.479,5.48,358.729,0.296,1.549,38.4,34,0.401,6.801e-6,8.251,-0.012,88.808,180.997,1.223e4,2000,2.014,0.023,9.796,109.8,78.6,2.599,0,0,112.057,0.384,0.183,0.024,0.177,0.384,0.057,0.148,2.133e-4,0,0,0,0,2.328e-4,5.986,180.023,5.071,842.8,0.001,334.372,0.661,2.045e7,12,110,0.027,0.077,0.025
3.733,563.605,1533.605,220.559,220.56,-18.883,18.896,-0.124,5.472,5.473,358.729,0.267,0.682,38.4,34,0.115,6.199e-6,10.943,-0.049,88.522,180.825,1.223e4,2000,2.014,0.023,9.796,110.1,78.6,2.623,0,0,111.324,0.383,0.183,0.024,0.177,0.383,0.019,0.049,-6.426e-5,0,0,0,0,4.131e-4,5.97,180.023,5.032,842.2,0.001,334.348,0.66,2.039e7,12,110,0.041,0.078,0.025
3.774,572.591,1542.591,219.79,219.79,-18.846,18.86,-0.128,5.462,5.463,358.672,0.268,0.716,38.4,34,0.344,8.806e-6,-9.626,-0.032,88.064,180.654,1.223e4,2000,2.014,0.023,9.796,109.8,78.6,2.606,0,0,110.338,0.383,0.183,0.024,0.176,0.383,0.043,0.113,-4.629e-4,0,0,0,0,-3.214e-4,5.892,180.023,4.973,841.2,0.001,334.313,0.658,2.031e7,12,110,0.036,0.078,0.025
3.81,580.522,1550.522,219.109,219.109,-18.816,18.879,-0.131,5.452,5.453,358.614,0.309,1.542,38.4,34,0.573,1.329e-5,-3.724,-0.023,87.834,180.596,1.223e4,2000,2.014,0.023,9.796,109.6,78.6,2.581,0,0,109.526,0.382,0.183,0.023,0.176,0.383,0.08,0.208,-2.484e-4,0,0,0,0,-4.899e-5,5.769,180.023,4.922,840.4,0.001,334.281,0.656,2.023e7,12,110,0.02,0.078,0.025
3.83,584.836,1554.836,218.738,218.739,-18.784,18.86,-0.132,5.446,5.447,358.614,0.34,1.685,38.4,34,0.63,1.396e-5,0.458,-0.024,87.777,180.596,1.223e4,2000,2.014,0.023,9.795,109.5,78.6,2.576,0,0,109.061,0.382,0.183,0.023,0.176,0.383,0.087,0.224,2.116e-4,0,0,0,0,7.263e-7,5.673,180.023,4.894,840,0.001,334.264,0.655,2.019e7,12,110,0.018,0.079,0.025
3.848,588.844,1558.844,218.394,218.395,-18.741,18.808,-0.134,5.439,5.441,358.614,0.37,1.582,38.4,34,0.573,1.372e-5,4.354,-0.032,87.834,180.654,1.223e4,2000,2.014,0.023,9.795,109.5,78.6,2.578,0,0,108.601,0.382,0.183,0.023,0.176,0.382,0.083,0.213,-1.043e-4,0,0,0,0,6.774e-5,5.583,180.023,4.868,839.6,0.001,334.249,0.654,2.015e7,12,110,0.019,0.079,0.025
3.868,593.077,1563.077,218.031,218.032,-18.682,18.722,-0.136,5.432,5.434,358.557,0.396,1.218,38.4,34,0.458,1.38e-5,8.021,-0.039,87.949,180.711,1.223e4,2000,2.014,0.023,9.795,109.6,78.6,2.588,0,0,108.091,0.382,0.183,0.023,0.175,0.382,0.066,0.171,-2.599e-4,0,0,0,0,2.281e-4,5.525,180.023,4.84,839.2,0.001,334.232,0.653,2.011e7,12,110,0.024,0.079,0.025
3.892,598.348,1568.348,217.58,217.581,-18.602,18.61,-0.138,5.422,5.424,358.557,0.417,0.526,38.4,34,0.229,1.42e-5,11.115,-0.057,88.178,180.768,1.223e4,2000,2.014,0.023,9.795,109.9,78.6,2.608,0,0,107.455,0.382,0.183,0.023,0.175,0.382,0.035,0.091,-4.74e-4,0,0,0,0,4.397e-4,5.456,180.023,4.806,838.6,0.001,334.211,0.651,2.006e7,12,110,0.036,0.079,0.025
3.928,606.235,1576.235,216.907,216.907,-18.495,18.509,-0.141,5.408,5.409,358.5,0.414,0.718,38.4,34,0.172,1.442e-5,-11.688,-0.115,88.637,181.055,1.223e4,2000,2.014,0.023,9.795,110,78.6,2.615,0,0,106.58,0.381,0.183,0.023,0.175,0.381,0.022,0.058,4.076e-4,0,0,0,0,-4.888e-4,5.404,180.023,4.754,837.8,0.001,334.18,0.649,1.999e7,12,110,0.05,0.08,0.025
3.978,617.057,1587.057,215.985,215.985,-18.391,18.516,-0.146,5.389,5.391,358.442,0.343,2.153,38.4,34,0.63,1.578e-5,-4.641,-0.014,89.095,181.513,1.223e4,2000,2.014,0.023,9.795,109.4,78.6,2.571,0,0,105.538,0.381,0.183,0.023,0.174,0.381,0.089,0.228,-3.068e-4,0,0,0,0,-7.848e-5,5.603,180.023,4.684,836.7,0.001,334.137,0.647,1.989e7,12,110,0.019,0.08,0.025
3.997,621.056,1591.056,215.644,215.645,-18.357,18.511,-0.147,5.383,5.385,358.442,0.303,2.386,38.4,34,0.745,1.444e-5,-0.401,-0.013,89.095,181.57,1.223e4,2000,2.014,0.023,9.795,109.3,78.6,2.564,0,0,105.144,0.38,0.183,0.023,0.174,0.381,0.1,0.257,-2.574e-4,0,0,0,0,-5.332e-7,5.749,180.023,4.658,836.3,0.001,334.122,0.646,1.985e7,12,110,0.017,0.08,0.025
4.013,624.623,1594.623,215.341,215.341,-18.325,18.475,-0.149,5.379,5.381,358.442,0.265,2.355,38.4,34,0.688,1.35e-5,3.61,-0.014,89.095,181.513,1.223e4,2000,2.014,0.023,9.795,109.3,78.6,2.564,0,0,104.759,0.38,0.183,0.023,0.174,0.381,0.099,0.253,9.443e-5,0,0,0,0,4.737e-5,5.849,180.023,4.635,836,0.001,334.108,0.645,1.982e7,12,110,0.017,0.081,0.025
4.03,628.246,1598.246,215.033,215.033,-18.291,18.413,-0.15,5.375,5.377,358.385,0.23,2.119,38.4,34,0.63,1.424e-5,7.448,-0.017,88.98,181.398,1.223e4,2000,2.014,0.023,9.795,109.4,78.6,2.57,0,0,104.342,0.38,0.183,0.023,0.174,0.38,0.088,0.226,1.866e-4,0,0,0,0,2.003e-4,5.943,180.023,4.611,835.6,0.001,334.093,0.644,1.978e7,12,110,0.019,0.081,0.025
4.049,632.31,1602.31,214.687,214.687,-18.255,18.33,-0.152,5.371,5.373,358.385,0.198,1.653,38.4,34,0.458,1.394e-5,10.943,-0.027,88.808,181.169,1.223e4,2000,2.014,0.023,9.795,109.6,78.6,2.583,0,0,103.857,0.38,0.183,0.023,0.174,0.38,0.066,0.17,2.831e-4,0,0,0,0,4.381e-4,6.049,180.023,4.585,835.2,0.001,334.077,0.643,1.974e7,12,110,0.025,0.081,0.025
4.074,637.706,1607.706,214.228,214.228,-18.221,18.232,-0.155,5.367,5.37,358.328,0.173,0.618,38.4,34,0.115,1.456e-5,13.522,-0.115,88.522,180.883,1.223e4,2000,2.014,0.023,9.795,109.9,78.6,2.614,0,0,103.212,0.379,0.183,0.023,0.174,0.38,0.018,0.046,4.704e-4,0,0,0,0,6.714e-4,5.931,180.023,4.55,834.7,0.001,334.056,0.642,1.969e7,12,110,0.038,0.082,0.024
4.112,645.78,1615.78,213.541,213.541,-18.199,18.215,-0.158,5.362,5.364,358.328,0.178,0.761,38.4,34,0.344,1.118e-5,-11.803,-0.056,88.006,180.711,1.223e4,2000,2.014,0.023,9.795,109.7,78.6,2.593,0,0,102.393,0.379,0.184,0.022,0.173,0.379,0.048,0.124,-1.633e-4,0,0,0,0,-5.161e-4,5.965,180.023,4.497,833.8,0.001,334.024,0.64,1.962e7,12,110,0.035,0.082,0.024
4.147,653.257,1623.257,212.903,212.903,-18.167,18.211,-0.161,5.356,5.358,358.271,0.211,1.267,38.4,34,0.516,7.775e-6,-6.646,-0.034,87.663,180.596,1.223e4,2000,2.014,0.023,9.795,109.5,78.6,2.576,0,0,101.674,0.379,0.184,0.022,0.173,0.379,0.073,0.188,1.976e-4,0,0,0,0,-1.625e-4,6.453,180.023,4.449,833.1,0.001,333.995,0.638,1.955e7,12,110,0.023,0.082,0.024
4.17,658.189,1628.189,212.482,212.482,-18.143,18.212,-0.164,5.351,5.354,358.271,0.242,1.575,38.4,34,0.63,6.979e-6,-2.177,-0.035,87.605,180.596,1.223e4,2000,2.014,0.023,9.795,109.4,78.6,2.566,0,0,101.194,0.378,0.184,0.022,0.173,0.379,0.088,0.226,-1.902e-5,0,0,0,0,-1.796e-5,6.393,180.023,4.417,832.6,0.001,333.975,0.637,1.95e7,12,110,0.019,0.083,0.024
4.19,662.31,1632.31,212.13,212.13,-18.111,18.183,-0.165,5.347,5.349,358.213,0.271,1.624,38.4,34,0.63,6.847e-6,1.891,-0.028,87.548,180.596,1.223e4,2000,2.014,0.023,9.795,109.4,78.6,2.564,0,0,100.768,0.378,0.184,0.022,0.173,0.379,0.091,0.233,1.35e-4,0,0,0,0,1.347e-5,6.296,180.023,4.39,832.2,0.001,333.959,0.636,1.946e7,12,110,0.019,0.083,0.024
4.208,666.317,1636.317,211.788,211.788,-18.064,18.119,-0.167,5.341,5.344,358.213,0.299,1.421,38.4,34,0.573,7.85e-6,5.73,-0.028,87.663,180.654,1.223e4,2000,2.014,0.023,9.795,109.4,78.6,2.57,0,0,100.324,0.378,0.184,0.022,0.172,0.378,0.081,0.208,1.716e-4,0,0,0,0,1.234e-4,6.238,180.023,4.364,831.8,0.001,333.943,0.635,1.943e7,12,110,0.021,0.083,0.024
4.23,670.808,1640.808,211.406,211.406,-17.998,18.022,-0.169,5.335,5.338,358.156,0.323,0.935,38.4,34,0.401,7.878e-6,9.225,-0.034,87.834,180.711,1.223e4,2000,2.014,0.023,9.795,109.6,78.6,2.584,0,0,99.808,0.378,0.184,0.022,0.172,0.378,0.058,0.149,-2.899e-4,0,0,0,0,3.185e-4,6.224,180.023,4.335,831.3,0.001,333.926,0.633,1.938e7,12,110,0.03,0.084,0.024
4.26,677.109,1647.109,210.87,210.87,-17.903,17.903,-0.172,5.326,5.328,358.156,0.337,0.024,38.4,34,0.115,7.042e-6,11.688,-0.115,88.121,180.825,1.223e4,2000,2.014,0.023,9.795,109.9,78.6,2.612,0,0,99.108,0.378,0.184,0.022,0.172,0.378,0.013,0.032,1.326e-4,0,0,0,0,5.184e-4,6.223,180.023,4.294,830.7,0.001,333.901,0.632,1.932e7,12,110,0.045,0.084,0.024
4.304,686.53,1656.53,210.071,210.071,-17.793,17.848,-0.176,5.312,5.315,358.099,0.306,1.409,38.4,34,0.401,5.491e-6,-9.282,-0.02,88.637,181.169,1.223e4,2000,2.014,0.023,9.795,109.6,78.6,2.582,0,0,98.197,0.377,0.184,0.022,0.172,0.377,0.057,0.148,2.156e-4,0,0,0,0,-3.281e-4,6.294,180.023,4.233,829.7,0.001,333.864,0.63,1.924e7,12,110,0.03,0.084,0.024
4.335,692.906,1662.906,209.531,209.531,-17.737,17.856,-0.179,5.304,5.307,358.041,0.256,2.058,38.4,34,0.63,3.809e-6,-4.068,-0.013,88.808,181.341,1.223e4,2000,2.014,0.023,9.795,109.3,78.6,2.561,0,0,97.626,0.377,0.184,0.022,0.171,0.377,0.09,0.23,-1.485e-4,0,0,0,0,-6.352e-5,6.417,180.023,4.191,829.1,0.001,333.839,0.628,1.918e7,12,110,0.02,0.085,0.024
4.354,697.036,1667.036,209.182,209.182,-17.704,17.832,-0.181,5.299,5.303,358.041,0.218,2.14,38.4,34,0.688,4.255e-6,0.115,-0.012,88.866,181.398,1.223e4,2000,2.014,0.023,9.795,109.3,78.6,2.558,0,0,97.22,0.377,0.184,0.022,0.171,0.377,0.094,0.241,2.209e-4,0,0,0,0,4.386e-8,6.421,180.023,4.164,828.7,0.001,333.822,0.627,1.914e7,12,110,0.019,0.085,0.024
4.373,700.979,1670.979,208.848,208.848,-17.673,17.764,-0.183,5.296,5.299,358.041,0.186,1.802,38.4,34,0.573,3.965e-6,3.782,-0.018,88.808,181.341,1.223e4,2000,2.014,0.023,9.795,109.4,78.6,2.567,0,0,96.772,0.376,0.184,0.022,0.171,0.377,0.078,0.201,3.238e-5,0,0,0,0,5.548e-5,6.174,180.023,4.139,828.3,0.001,333.807,0.626,1.91e7,12,110,0.023,0.085,0.024
4.396,705.716,1675.716,208.447,208.447,-17.638,17.678,-0.186,5.293,5.296,357.984,0.158,1.188,38.4,34,0.344,3.731e-6,7.047,-0.031,88.694,181.169,1.223e4,2000,2.014,0.023,9.795,109.6,78.6,2.586,0,0,96.229,0.376,0.184,0.021,0.171,0.376,0.048,0.124,-3.096e-4,0,0,0,0,1.931e-4,5.876,180.023,4.108,827.8,0.001,333.788,0.625,1.906e7,12,110,0.034,0.086,0.024
4.43,712.804,1682.804,207.847,207.847,-17.598,17.6,-0.189,5.289,5.293,357.927,0.14,0.259,38.4,34,0.016,2.603e-6,8.995,-0.802,88.407,180.94,1.223e4,2000,2.014,0.023,9.795,110,78.6,2.615,0,0,95.478,0.376,0.184,0.021,0.17,0.376,0.002,0.006,-4.947e-4,0,0,0,0,3.134e-4,5.683,180.023,4.062,827.1,0.001,333.76,0.623,1.899e7,12,110,0.05,0.086,0.024
4.48,723.174,1693.174,206.969,206.969,-17.551,17.567,-0.194,5.284,5.288,357.869,0.153,0.749,38.4,34,0.344,2.99e-6,-5.901,-0.034,88.006,180.768,1.223e4,2000,2.014,0.023,9.795,109.6,78.6,2.583,0,0,94.487,0.375,0.184,0.021,0.17,0.375,0.049,0.128,3.097e-4,0,0,0,0,-1.365e-4,5.702,180.023,3.994,826,0.001,333.719,0.62,1.89e7,12,110,0.036,0.086,0.024
4.516,730.688,1700.688,206.331,206.331,-17.506,17.537,-0.198,5.279,5.283,357.869,0.179,1.044,38.4,34,0.458,2.952e-6,-1.261,-0.027,87.892,180.768,1.223e4,2000,2.014,0.023,9.795,109.4,78.6,2.572,0,0,93.774,0.375,0.184,0.021,0.17,0.375,0.065,0.167,9.277e-5,0,0,0,0,-6.352e-6,5.728,180.023,3.946,825.2,0.001,333.69,0.619,1.883e7,12,110,0.028,0.087,0.024
4.544,736.476,1706.476,205.84,205.84,-17.458,17.487,-0.2,5.275,5.279,357.812,0.204,1.013,38.4,34,0.458,3.564e-6,2.75,-0.033,87.892,180.768,1.223e4,2000,2.014,0.023,9.795,109.4,78.6,2.572,0,0,93.201,0.375,0.184,0.021,0.17,0.375,0.064,0.164,-4.823e-4,0,0,0,0,3.029e-5,5.644,180.023,3.908,824.7,0.001,333.667,0.617,1.877e7,12,110,0.029,0.087,0.024
4.573,742.402,1712.402,205.338,205.338,-17.391,17.402,-0.203,5.269,5.273,357.812,0.226,0.614,38.4,34,0.344,2.597e-6,6.188,-0.044,88.064,180.883,1.223e4,2000,2.014,0.023,9.795,109.6,78.6,2.585,0,0,92.591,0.374,0.184,0.021,0.169,0.374,0.043,0.112,4.334e-4,0,0,0,0,1.535e-4,5.66,180.023,3.869,824.1,0.001,333.644,0.616,1.872e7,12,110,0.042,0.087,0.023
4.616,751.108,1721.108,204.601,204.602,-17.291,17.292,-0.208,5.261,5.265,357.755,0.233,0.241,38.4,34,0.01,4.058e-6,-8.021,-1.146,88.35,181.055,1.223e4,2000,2.014,0.023,9.795,109.9,78.6,2.611,0,0,91.719,0.374,0.184,0.021,0.169,0.374,0.001,0.003,-2.536e-4,0,0,0,0,-2.597e-4,5.661,180.023,3.813,823.2,0.001,333.609,0.614,1.864e7,12,110,0.05,0.088,0.023
4.666,761.317,1731.317,203.739,203.739,-17.194,17.228,-0.213,5.251,5.255,357.698,0.203,1.086,38.4,34,0.344,2.414e-6,-5.443,-0.032,88.751,181.398,1.223e4,2000,2.014,0.023,9.795,109.5,78.6,2.58,0,0,90.767,0.373,0.184,0.021,0.169,0.374,0.046,0.12,2.628e-4,0,0,0,0,-1.19e-4,5.577,180.023,3.746,822.1,0.001,333.569,0.611,1.854e7,12,110,0.04,0.088,0.023
4.706,769.493,1739.493,203.049,203.05,-17.128,17.188,-0.217,5.245,5.249,357.64,0.162,1.432,38.4,34,0.458,6.417e-6,-0.573,-0.021,88.866,181.513,1.223e4,2000,2.014,0.023,9.795,109.4,78.6,2.567,0,0,90.018,0.373,0.184,0.021,0.168,0.373,0.065,0.167,3.677e-4,0,0,0,0,-1.313e-6,5.647,180.023,3.693,821.3,0.001,333.537,0.609,1.847e7,12,110,0.029,0.088,0.023
4.735,775.394,1745.394,202.552,202.552,-17.08,17.155,-0.22,5.242,5.247,357.583,0.132,1.599,38.4,34,0.516,6.79e-6,3.782,-0.02,88.808,181.398,1.223e4,2000,2.014,0.023,9.795,109.3,78.6,2.561,0,0,89.486,0.373,0.184,0.02,0.168,0.373,0.074,0.189,-3.489e-4,0,0,0,0,5.839e-5,6.058,180.023,3.655,820.7,0.001,333.514,0.608,1.842e7,12,110,0.026,0.088,0.023
4.761,780.632,1750.632,202.11,202.11,-17.04,17.091,-0.223,5.24,5.245,357.583,0.113,1.309,38.4,34,0.401,7.884e-6,7.563,-0.027,88.637,181.227,1.223e4,2000,2.014,0.023,9.795,109.4,78.6,2.57,0,0,88.966,0.373,0.184,0.02,0.168,0.373,0.058,0.15,-1.53e-4,0,0,0,0,2.353e-4,6.217,180.023,3.621,820.2,0.001,333.493,0.606,1.837e7,12,110,0.033,0.089,0.023
